timestamp,sql_file,source,task,llm,strategy,repetition,db_type,m1_executability,m2_schema_correct,m2_has_case_id,m2_has_activity,m2_has_timestamp,columns,column_types,row_count,latency_s,error_class,error_msg
2026-03-05T12:39:33.937772+00:00,/sessions/sharp-zealous-bardeen/mnt/ELG with AI/experiment/outputs/t1/claude/few_shot_r1.sql,llm,t1,claude,few_shot,1,duckdb,1,1,True,True,True,case_id|activity|timestamp,BIGINT|VARCHAR|TIMESTAMP,1704,0.007,,
2026-03-05T12:39:33.939992+00:00,/sessions/sharp-zealous-bardeen/mnt/ELG with AI/experiment/outputs/t1/claude/few_shot_r2.sql,llm,t1,claude,few_shot,2,duckdb,1,1,True,True,True,case_id|activity|timestamp,BIGINT|VARCHAR|TIMESTAMP,1704,0.002,,
2026-03-05T12:39:33.942043+00:00,/sessions/sharp-zealous-bardeen/mnt/ELG with AI/experiment/outputs/t1/claude/few_shot_r3.sql,llm,t1,claude,few_shot,3,duckdb,1,1,True,True,True,case_id|activity|timestamp,BIGINT|VARCHAR|TIMESTAMP,1704,0.001,,
2026-03-05T12:39:33.943847+00:00,/sessions/sharp-zealous-bardeen/mnt/ELG with AI/experiment/outputs/t1/claude/schema_aware_r1.sql,llm,t1,claude,schema_aware,1,duckdb,1,1,True,True,True,case_id|activity|timestamp,BIGINT|VARCHAR|TIMESTAMP,1704,0.001,,
2026-03-05T12:39:33.945501+00:00,/sessions/sharp-zealous-bardeen/mnt/ELG with AI/experiment/outputs/t1/claude/schema_aware_r2.sql,llm,t1,claude,schema_aware,2,duckdb,1,1,True,True,True,case_id|activity|timestamp,BIGINT|VARCHAR|TIMESTAMP,1704,0.001,,
2026-03-05T12:39:33.947468+00:00,/sessions/sharp-zealous-bardeen/mnt/ELG with AI/experiment/outputs/t1/claude/schema_aware_r3.sql,llm,t1,claude,schema_aware,3,duckdb,1,1,True,True,True,case_id|activity|timestamp,BIGINT|VARCHAR|TIMESTAMP,1704,0.001,,
2026-03-05T12:39:33.950697+00:00,/sessions/sharp-zealous-bardeen/mnt/ELG with AI/experiment/outputs/t1/claude/zero_shot_r1.sql,llm,t1,claude,zero_shot,1,duckdb,1,1,True,True,True,case_id|activity|timestamp,BIGINT|VARCHAR|TIMESTAMP,1704,0.003,,
2026-03-05T12:39:33.952927+00:00,/sessions/sharp-zealous-bardeen/mnt/ELG with AI/experiment/outputs/t1/claude/zero_shot_r2.sql,llm,t1,claude,zero_shot,2,duckdb,1,1,True,True,True,case_id|activity|timestamp,BIGINT|VARCHAR|TIMESTAMP,1704,0.002,,
2026-03-05T12:39:33.955107+00:00,/sessions/sharp-zealous-bardeen/mnt/ELG with AI/experiment/outputs/t1/claude/zero_shot_r3.sql,llm,t1,claude,zero_shot,3,duckdb,1,1,True,True,True,case_id|activity|timestamp,BIGINT|VARCHAR|TIMESTAMP,1704,0.001,,
2026-03-05T12:39:33.957635+00:00,/sessions/sharp-zealous-bardeen/mnt/ELG with AI/experiment/outputs/t1/gpt4o/few_shot_r1.sql,llm,t1,gpt4o,few_shot,1,duckdb,1,1,True,True,True,case_id|activity|timestamp,BIGINT|VARCHAR|TIMESTAMP,1704,0.002,,
2026-03-05T12:39:33.962484+00:00,/sessions/sharp-zealous-bardeen/mnt/ELG with AI/experiment/outputs/t1/gpt4o/few_shot_r2.sql,llm,t1,gpt4o,few_shot,2,duckdb,0,0,False,False,False,,,0,0.004,other,Binder Error: Cannot compare values of type VARCHAR and BIGINT in IN/ANY/ALL clause - an explicit cast is required  LINE 28:   AND po.visit_detail_id IN (                                   ^
2026-03-05T12:39:33.963385+00:00,/sessions/sharp-zealous-bardeen/mnt/ELG with AI/experiment/outputs/t1/gpt4o/few_shot_r3.sql,llm,t1,gpt4o,few_shot,3,duckdb,0,0,False,False,False,,,0,0.0,other,Binder Error: Cannot compare values of type VARCHAR and BIGINT in IN/ANY/ALL clause - an explicit cast is required  LINE 28:   AND po.visit_detail_id IN (                                   ^
2026-03-05T12:39:33.966516+00:00,/sessions/sharp-zealous-bardeen/mnt/ELG with AI/experiment/outputs/t1/gpt4o/schema_aware_r1.sql,llm,t1,gpt4o,schema_aware,1,duckdb,1,1,True,True,True,case_id|activity|timestamp,BIGINT|VARCHAR|TIMESTAMP,1704,0.003,,
2026-03-05T12:39:33.969166+00:00,/sessions/sharp-zealous-bardeen/mnt/ELG with AI/experiment/outputs/t1/gpt4o/schema_aware_r2.sql,llm,t1,gpt4o,schema_aware,2,duckdb,1,1,True,True,True,case_id|activity|timestamp,BIGINT|VARCHAR|TIMESTAMP,1704,0.002,,
2026-03-05T12:39:33.971094+00:00,/sessions/sharp-zealous-bardeen/mnt/ELG with AI/experiment/outputs/t1/gpt4o/schema_aware_r3.sql,llm,t1,gpt4o,schema_aware,3,duckdb,1,1,True,True,True,case_id|activity|timestamp,BIGINT|VARCHAR|TIMESTAMP,1704,0.001,,
