task,llm,m5_m1_std,m5_m3a_std,m5_m3b_std,m5_m4a_std,m5_mean_std
t1,gpt4o,0.0,0.3849,0.0026,0.0,0.0969
t1,claude,0.0,0.0,0.002,0.0019,0.001
t1,llama3,0.0,0.1925,0.0029,0.0019,0.0493
t2,gpt4o,0.5774,0.5774,0.0,0.0,0.2887
t2,claude,0.0,0.0,0.0,0.0,0.0
t2,llama3,0.1925,0.1925,0.0,0.0,0.0963
t3,gpt4o,0.0,0.0,0.0,0.0,0.0
t3,claude,0.0,0.2357,0.0,0.0,0.0589
t3,llama3,0.0,0.0,0.0,0.0,0.0
t4,gpt4o,0.1925,,,,0.1925
t4,claude,0.0,,,,0.0
t4,llama3,0.3333,0.0,0.0,0.0,0.0833
t5,gpt4o,0.0,0.0,0.0,0.0,0.0
t5,claude,0.0,0.0,0.0,0.0,0.0
t5,llama3,0.0,0.0,0.0,0.0,0.0
