task,llm,strategy,repetition,m1_executability,m3a_case_coverage,m3b_activity_coverage,m3c_row_ratio,m4a_jaccard,m4b_trace_sim,m5_mean_std
t1,gpt4o,naive,1,,0.0,0.0,0.0,0.0,,
t1,gpt4o,naive,2,,0.0,0.0,0.0,0.0,,
t1,gpt4o,naive,3,,0.0,0.0,0.0,0.0,,
t1,gpt4o,zero_shot,1,,1.0,0.0066,0.6555,0.0066,,
t1,gpt4o,zero_shot,2,,1.0,0.0066,0.6555,0.0066,,
t1,gpt4o,zero_shot,3,,1.0,0.0066,0.6555,0.0066,,
t1,gpt4o,schema_aware,1,,1.0,0.0066,0.6555,0.0066,,
t1,gpt4o,schema_aware,2,,1.0,0.0066,0.6555,0.0066,,
t1,gpt4o,schema_aware,3,,1.0,0.0066,0.6555,0.0066,,
t1,gpt4o,few_shot,1,,1.0,0.0066,0.6555,0.0066,,
t1,gpt4o,few_shot,2,,0.0,0.0,0.0,0.0,,
t1,gpt4o,few_shot,3,,0.0,0.0,0.0,0.0,,
t1,claude,naive,1,,0.0,0.0,0.0,0.0,,
t1,claude,naive,2,,0.0,0.0,0.0,0.0,,
t1,claude,naive,3,,0.0,0.0,0.0,0.0,,
t1,claude,zero_shot,1,,1.0,0.0099,2.9606,0.0099,,
t1,claude,zero_shot,2,,1.0,0.0099,2.9606,0.0099,,
t1,claude,zero_shot,3,,1.0,0.0099,2.9606,0.0099,,
t1,claude,schema_aware,1,,1.0,0.0066,0.6555,0.0066,,
t1,claude,schema_aware,2,,1.0,0.0066,0.6555,0.0066,,
t1,claude,schema_aware,3,,1.0,0.0066,0.6555,0.0066,,
t1,claude,few_shot,1,,1.0,0.0066,0.6555,0.0066,,
t1,claude,few_shot,2,,1.0,0.0066,0.6555,0.0066,,
t1,claude,few_shot,3,,1.0,0.0066,0.6555,0.0066,,
t1,llama3,naive,1,,0.0,0.0,0.0,0.0,,
t1,llama3,naive,2,,0.0,0.0,0.0,0.0,,
t1,llama3,naive,3,,0.0,0.0,0.0,0.0,,
t1,llama3,zero_shot,1,,1.0,0.0066,0.6555,0.0066,,
t1,llama3,zero_shot,2,,1.0,0.0066,0.6555,0.0066,,
t1,llama3,zero_shot,3,,1.0,0.0066,0.6555,0.0066,,
t1,llama3,schema_aware,1,,1.0,0.0066,0.6555,0.0066,,
t1,llama3,schema_aware,2,,1.0,0.0066,3.5573,0.0066,,
t1,llama3,schema_aware,3,,0.0,0.0,0.0,0.0,,
t1,llama3,few_shot,1,,1.0,0.0099,0.6556,0.0099,,
t1,llama3,few_shot,2,,1.0,0.0099,0.6556,0.0099,,
t1,llama3,few_shot,3,,1.0,0.0099,0.6556,0.0099,,
t2,gpt4o,naive,1,,0.0,0.0,0.0,0.0,,
t2,gpt4o,naive,2,,0.0,0.0,0.0,0.0,,
t2,gpt4o,naive,3,,0.0611,0.0,0.034,0.0,,
t2,gpt4o,zero_shot,1,,0.0,0.0,0.0,0.0,,
t2,gpt4o,zero_shot,2,,0.0,0.0,0.0,0.0,,
t2,gpt4o,zero_shot,3,,0.0,0.0,0.0,0.0,,
t2,gpt4o,schema_aware,1,,1.0,0.0,23.2012,0.0,,
t2,gpt4o,schema_aware,2,,1.0,0.0,23.2012,0.0,,
t2,gpt4o,schema_aware,3,,1.0,0.0,23.2012,0.0,,
t2,gpt4o,few_shot,1,,1.0,0.0,23.2012,0.0,,
t2,gpt4o,few_shot,2,,1.0,0.0,23.2012,0.0,,
t2,gpt4o,few_shot,3,,1.0,0.0,23.2012,0.0,,
t2,claude,naive,1,,0.0,0.0,0.0769,0.0,,
t2,claude,naive,2,,0.0,0.0,0.0769,0.0,,
t2,claude,naive,3,,0.0,0.0,0.0769,0.0,,
t2,claude,zero_shot,1,,1.0,0.0,1.3381,0.0,,
t2,claude,zero_shot,2,,1.0,0.0,1.3381,0.0,,
t2,claude,zero_shot,3,,1.0,0.0,1.3381,0.0,,
t2,claude,schema_aware,1,,1.0,0.0,1.3381,0.0,,
t2,claude,schema_aware,2,,1.0,0.0,1.3381,0.0,,
t2,claude,schema_aware,3,,1.0,0.0,1.3381,0.0,,
t2,claude,few_shot,1,,1.0,0.0,1.4375,0.0,,
t2,claude,few_shot,2,,1.0,0.0,1.4375,0.0,,
t2,claude,few_shot,3,,1.0,0.0,1.4375,0.0,,
t2,llama3,naive,1,,0.0,0.0,0.0,0.0,,
t2,llama3,naive,2,,0.0,0.0,0.0,0.0,,
t2,llama3,naive,3,,0.0,0.0,0.0,0.0,,
t2,llama3,zero_shot,1,,1.0,0.0,11.5401,0.0,,
t2,llama3,zero_shot,2,,0.0,0.0,0.0,0.0,,
t2,llama3,zero_shot,3,,0.0,0.0,0.0,0.0,,
t2,llama3,schema_aware,1,,0.0,0.0,0.0,0.0,,
t2,llama3,schema_aware,2,,1.0,0.0,1.0596,0.0,,
t2,llama3,schema_aware,3,,0.0,0.0,0.0,0.0,,
t2,llama3,few_shot,1,,0.0,0.0,0.0,0.0,,
t2,llama3,few_shot,2,,0.0,0.0,0.0,0.0,,
t2,llama3,few_shot,3,,0.0,0.0,0.0,0.0,,
t3,gpt4o,naive,1,,0.0,0.0,0.0,0.0,,
t3,gpt4o,naive,2,,1.0,0.0,0.0006,0.0,,
t3,gpt4o,naive,3,,0.0,0.0,0.0,0.0,,
t3,gpt4o,zero_shot,1,,1.0,0.0,2.3675,0.0,,
t3,gpt4o,zero_shot,2,,1.0,0.0,2.3675,0.0,,
t3,gpt4o,zero_shot,3,,1.0,0.0,4.6749,0.0,,
t3,gpt4o,schema_aware,1,,1.0,0.0,5.1928,0.0,,
t3,gpt4o,schema_aware,2,,1.0,0.0,5.0614,0.0,,
t3,gpt4o,schema_aware,3,,1.0,0.0,5.0614,0.0,,
t3,gpt4o,few_shot,1,,1.0,0.0,2.8256,0.0,,
t3,gpt4o,few_shot,2,,1.0,0.0,2.8256,0.0,,
t3,gpt4o,few_shot,3,,1.0,0.0,2.8256,0.0,,
t3,claude,naive,1,,0.0,0.0,1.4388,0.0,,
t3,claude,naive,2,,0.0,0.0,1.4388,0.0,,
t3,claude,naive,3,,0.0,0.0,1.4388,0.0,,
t3,claude,zero_shot,1,,1.0,0.0,2.2837,0.0,,
t3,claude,zero_shot,2,,1.0,0.0,2.2837,0.0,,
t3,claude,zero_shot,3,,1.0,0.0,2.2837,0.0,,
t3,claude,schema_aware,1,,0.5931,0.0,1.1141,0.0,,
t3,claude,schema_aware,2,,0.5931,0.0,1.1141,0.0,,
t3,claude,schema_aware,3,,0.5931,0.0,1.1141,0.0,,
t3,claude,few_shot,1,,1.0,0.0,2.9851,0.0,,
t3,claude,few_shot,2,,1.0,0.0,2.9851,0.0,,
t3,claude,few_shot,3,,1.0,0.0,2.9851,0.0,,
t3,llama3,naive,1,,0.0,0.0,0.0,0.0,,
t3,llama3,naive,2,,0.0,0.0,0.0,0.0,,
t3,llama3,naive,3,,0.0,0.0,0.0,0.0,,
t3,llama3,zero_shot,1,,1.0,0.0,2.8256,0.0,,
t3,llama3,zero_shot,2,,1.0,0.0,2.6942,0.0,,
t3,llama3,zero_shot,3,,1.0,0.0,2.6942,0.0,,
t3,llama3,schema_aware,1,,1.0,0.0,2.8256,0.0,,
t3,llama3,schema_aware,2,,1.0,0.0,2.8256,0.0,,
t3,llama3,schema_aware,3,,1.0,0.0,2.8256,0.0,,
t3,llama3,few_shot,1,,1.0,0.0,2.8256,0.0,,
t3,llama3,few_shot,2,,1.0,0.0,2.8256,0.0,,
t3,llama3,few_shot,3,,1.0,0.0,2.8256,0.0,,
t4,gpt4o,naive,1,,0.0,0.0,,0.0,,
t4,gpt4o,naive,2,,0.0,0.0,0.0,0.0,,
t4,gpt4o,naive,3,,0.0,0.0,,0.0,,
t4,gpt4o,zero_shot,1,,1.0,0.0,,0.0,,
t4,gpt4o,zero_shot,2,,1.0,0.0,,0.0,,
t4,gpt4o,zero_shot,3,,1.0,0.0,,0.0,,
t4,gpt4o,schema_aware,1,,1.0,0.0,,0.0,,
t4,gpt4o,schema_aware,2,,1.0,0.0,,0.0,,
t4,gpt4o,schema_aware,3,,1.0,0.0,,0.0,,
t4,gpt4o,few_shot,1,,1.0,0.0,,0.0,,
t4,gpt4o,few_shot,2,,1.0,0.0,,0.0,,
t4,gpt4o,few_shot,3,,1.0,0.0,,0.0,,
t4,claude,naive,1,,0.0,0.0,,0.0,,
t4,claude,naive,2,,0.0,0.0,,0.0,,
t4,claude,naive,3,,0.0,0.0,,0.0,,
t4,claude,zero_shot,1,,1.0,0.0,,0.0,,
t4,claude,zero_shot,2,,1.0,0.0,,0.0,,
t4,claude,zero_shot,3,,1.0,0.0,,0.0,,
t4,claude,schema_aware,1,,1.0,0.0,,0.0,,
t4,claude,schema_aware,2,,1.0,0.0,,0.0,,
t4,claude,schema_aware,3,,1.0,0.0,,0.0,,
