task,task_label,llm,llm_label,strategy,strategy_label,m1_avg,m1_pass,m1_total,m3a_avg,m3b_avg,m3c_avg,m4a_avg,m4b_avg,m5
t1,ICU Pathway,gpt4o,GPT-4o,naive,Naive,1.0,3,3,0.0,0.0,0.0,0.0,,0.21
t1,ICU Pathway,gpt4o,GPT-4o,zero_shot,Zero-shot,1.0,3,3,1.0,0.0066,0.6555,0.0066,,0.21
t1,ICU Pathway,gpt4o,GPT-4o,schema_aware,Schema-aware,1.0,3,3,1.0,0.0066,0.6555,0.0066,,0.21
t1,ICU Pathway,gpt4o,GPT-4o,few_shot,Few-shot,1.0,3,3,0.3333,0.0022,0.2185,0.0022,,0.21
t1,ICU Pathway,claude,Claude Sonnet,naive,Naive,1.0,3,3,0.0,0.0,0.0,0.0,,0.2521
t1,ICU Pathway,claude,Claude Sonnet,zero_shot,Zero-shot,1.0,3,3,1.0,0.0099,2.9606,0.0099,,0.2521
t1,ICU Pathway,claude,Claude Sonnet,schema_aware,Schema-aware,1.0,3,3,1.0,0.0066,0.6555,0.0066,,0.2521
t1,ICU Pathway,claude,Claude Sonnet,few_shot,Few-shot,1.0,3,3,1.0,0.0066,0.6555,0.0066,,0.2521
t1,ICU Pathway,llama3,Llama 3 70B,naive,Naive,0.0,0,3,0.0,0.0,0.0,0.0,,0.2378
t1,ICU Pathway,llama3,Llama 3 70B,zero_shot,Zero-shot,1.0,3,3,1.0,0.0066,0.6555,0.0066,,0.2378
t1,ICU Pathway,llama3,Llama 3 70B,schema_aware,Schema-aware,1.0,3,3,0.6667,0.0044,1.4043,0.0044,,0.2378
t1,ICU Pathway,llama3,Llama 3 70B,few_shot,Few-shot,1.0,3,3,1.0,0.0099,0.6556,0.0099,,0.2378
t2,Medication Admin.,gpt4o,GPT-4o,naive,Naive,1.0,3,3,0.0204,0.0,0.0113,0.0,,0.2679
t2,Medication Admin.,gpt4o,GPT-4o,zero_shot,Zero-shot,0.0,0,3,0.0,0.0,0.0,0.0,,0.2679
t2,Medication Admin.,gpt4o,GPT-4o,schema_aware,Schema-aware,1.0,3,3,1.0,0.0,23.2012,0.0,,0.2679
t2,Medication Admin.,gpt4o,GPT-4o,few_shot,Few-shot,1.0,3,3,1.0,0.0,23.2012,0.0,,0.2679
t2,Medication Admin.,claude,Claude Sonnet,naive,Naive,1.0,3,3,0.0,0.0,0.0769,0.0,,0.125
t2,Medication Admin.,claude,Claude Sonnet,zero_shot,Zero-shot,1.0,3,3,1.0,0.0,1.3381,0.0,,0.125
t2,Medication Admin.,claude,Claude Sonnet,schema_aware,Schema-aware,1.0,3,3,1.0,0.0,1.3381,0.0,,0.125
t2,Medication Admin.,claude,Claude Sonnet,few_shot,Few-shot,1.0,3,3,1.0,0.0,1.4375,0.0,,0.125
t2,Medication Admin.,llama3,Llama 3 70B,naive,Naive,0.0,0,3,0.0,0.0,0.0,0.0,,0.0963
t2,Medication Admin.,llama3,Llama 3 70B,zero_shot,Zero-shot,0.3333,1,3,0.3333,0.0,3.8467,0.0,,0.0963
